normal_tilt_alpha_deg,normal_azimuth_psi_deg,orientation_mass
15.929124067748742,326.25,0.00038214778770172752
15.929124067748742,337.5,0.00038214778770172752
15.929124067748742,348.75,0.00038214778770172752
17.137055307334276,0,0.00021417581061771305
17.137055307334276,11.25,0.00021417581061771305
17.137055307334276,22.5,0.00021417581061771305
17.137055307334276,33.75,0.00021417581061771305
17.137055307334276,45,0.00021417581061771305
17.137055307334276,56.25,0.00021417581061771305
17.137055307334276,67.5,0.00021417581061771305
17.137055307334276,78.75,0.00021417581061771305
17.137055307334276,90,0.00021417581061771305
17.137055307334276,101.25,0.00021417581061771305
17.137055307334276,112.5,0.00021417581061771305
17.137055307334276,123.74999999999999,0.00021417581061771305
17.137055307334276,135,0.00021417581061771305
17.137055307334276,146.25,0.00021417581061771305
17.137055307334276,157.5,0.00021417581061771305
17.137055307334276,168.75,0.00021417581061771305
17.137055307334276,180,0.00021417581061771305
17.137055307334276,191.25,0.00021417581061771305
17.137055307334276,202.5,0.00021417581061771305
17.137055307334276,213.75,0.00021417581061771305
17.137055307334276,225,0.00021417581061771305
17.137055307334276,236.25,0.00021417581061771305
17.137055307334276,247.49999999999997,0.00021417581061771305
17.137055307334276,258.75,0.00021417581061771305
17.137055307334276,270,0.00021417581061771305
17.137055307334276,281.25,0.00021417581061771305
17.137055307334276,292.5,0.00021417581061771305
17.137055307334276,303.75,0.00021417581061771305
17.137055307334276,315,0.00021417581061771305
17.137055307334276,326.25,0.00021417581061771305
17.137055307334276,337.5,0.00021417581061771305
17.137055307334276,348.75,0.00021417581061771305
17.834045708220472,0,8.4483424912540209e-05
17.834045708220472,11.25,8.4483424912540209e-05
17.834045708220472,22.5,8.4483424912540209e-05
17.834045708220472,33.75,8.4483424912540209e-05
17.834045708220472,45,8.4483424912540209e-05
17.834045708220472,56.25,8.4483424912540209e-05
17.834045708220472,67.5,8.4483424912540209e-05
17.834045708220472,78.75,8.4483424912540209e-05
17.834045708220472,90,8.4483424912540209e-05
17.834045708220472,101.25,8.4483424912540209e-05
17.834045708220472,112.5,8.4483424912540209e-05
17.834045708220472,123.74999999999999,8.4483424912540209e-05
17.834045708220472,135,8.4483424912540209e-05
17.834045708220472,146.25,8.4483424912540209e-05
17.834045708220472,157.5,8.4483424912540209e-05
17.834045708220472,168.75,8.4483424912540209e-05
17.834045708220472,180,8.4483424912540209e-05
17.834045708220472,191.25,8.4483424912540209e-05
17.834045708220472,202.5,8.4483424912540209e-05
17.834045708220472,213.75,8.4483424912540209e-05
17.834045708220472,225,8.4483424912540209e-05
17.834045708220472,236.25,8.4483424912540209e-05
17.834045708220472,247.49999999999997,8.4483424912540209e-05
17.834045708220472,258.75,8.4483424912540209e-05
17.834045708220472,270,8.4483424912540209e-05
17.834045708220472,281.25,8.4483424912540209e-05
17.834045708220472,292.5,8.4483424912540209e-05
17.834045708220472,303.75,8.4483424912540209e-05
17.834045708220472,315,8.4483424912540209e-05
17.834045708220472,326.25,8.4483424912540209e-05
17.834045708220472,337.5,8.4483424912540209e-05
17.834045708220472,348.75,8.4483424912540209e-05
