sample_name,tilt_deg,theta_initial_deg_used_for_q,qz_map_source,qr_integration_source,solid_angle_corrected,m,qr,qr_original,qr_fit_count,qr_fit_sample_count,qr_fit_method,branch,phi_window,delta_qr,qz_bin,qz_min,qz_max,qz_center,pixel_count,acceptance_sum,acceptance_source,background_sum_raw,background_sum,fit_sum,background_mean_raw,background_mean,fit_mean,background_weighted_sum_raw,background_weighted_sum,fit_weighted_sum,background_density_raw,qr_sideband_background_density,qr_sideband_pixel_count,qr_sideband_inner_delta_qr,qr_sideband_outer_delta_qr,qr_sideband_percentile,qr_transverse_background_subtracted,background_density,fit_density,two_theta_min,two_theta_max,two_theta_mean,smoothed_background_density
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,2,0.48749517270859305,0.5116285971001077,0.4995618849043504,2543,2543.0,pixel_count,32695.27965504728,32695.27965504728,990.8868044316769,12.856971944572269,12.856971944572269,0.38965269541159137,32695.27965504728,32695.27965504728,990.8868044316769,12.856971944572269,,0,,,,False,12.856971944572269,0.38965269541159137,60.337467193603516,64.60272216796875,62.614966746293284,12.885595437267373
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,3,0.5116285971001077,0.5357620214916221,0.5236953092958649,2565,2565.0,pixel_count,32962.47921834145,32962.47921834145,1005.7882910966873,12.850869090971324,12.850869090971324,0.3921201914606968,32962.47921834145,32962.47921834145,1005.7882910966873,12.850869090971324,,0,,,,False,12.850869090971324,0.3921201914606968,60.410362243652344,64.67379760742188,62.685426357486136,12.924267066487314
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,4,0.5357620214916221,0.5598954458831366,0.5478287336873793,2596,2596.0,pixel_count,33883.24425911801,33883.24425911801,1024.3998434245586,13.05209717223344,13.05209717223344,0.3946070275133123,33883.24425911801,33883.24425911801,1024.3998434245586,13.05209717223344,,0,,,,False,13.05209717223344,0.3946070275133123,60.483978271484375,64.74396514892578,62.76314157898744,13.034904180761357
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,5,0.5598954458831366,0.5840288702746511,0.5719621580788938,2617,2617.0,pixel_count,34474.24916813097,34474.24916813097,1039.2754407823086,13.173194179645002,13.173194179645002,0.39712473854883784,34474.24916813097,34474.24916813097,1039.2754407823086,13.173194179645002,,0,,,,False,13.173194179645002,0.39712473854883784,60.560489654541016,64.82987213134766,62.84639931441141,13.160160359741706
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,6,0.5840288702746511,0.6081622946661657,0.5960955824704084,2648,2648.0,pixel_count,35149.07138000676,35149.07138000676,1058.4041587114334,13.273818496981406,13.273818496981406,0.39969945570673465,35149.07138000676,35149.07138000676,1058.4041587114334,13.273818496981406,,0,,,,False,13.273818496981406,0.39969945570673465,60.635589599609375,64.9161605834961,62.92503631052381,13.263419316396838
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,7,0.6081622946661657,0.6322957190576802,0.620229006861923,2671,2671.0,pixel_count,35662.51914550988,35662.51914550988,1074.540352910757,13.351748088921708,13.351748088921708,0.40229889663450286,35662.51914550988,35662.51914550988,1074.540352910757,13.351748088921708,,0,,,,False,13.351748088921708,0.40229889663450286,60.73187255859375,65.00454711914062,63.012144698175625,13.351698285128906
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,8,0.6322957190576802,0.6564291434491947,0.6443624312534375,2705,2705.0,pixel_count,36281.310289636785,36281.310289636785,1095.4056582450867,13.412684025743728,13.412684025743728,0.40495588105178804,36281.310289636785,36281.310289636785,1095.4056582450867,13.412684025743728,,0,,,,False,13.412684025743728,0.40495588105178804,60.808265686035156,65.09159088134766,63.09848709315129,13.45449885148213
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,9,0.6564291434491947,0.6805625678407091,0.6684958556449518,2728,2728.0,pixel_count,37091.80347004091,37091.80347004091,1112.090877354145,13.596702151774528,13.596702151774528,0.40765794624418805,37091.80347004091,37091.80347004091,1112.090877354145,13.596702151774528,,0,,,,False,13.596702151774528,0.40765794624418805,60.90577697753906,65.17893981933594,63.18505122082717,13.590532549165864
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,10,0.6805625678407091,0.7046959922322237,0.6926292800364664,2757,2757.0,pixel_count,37935.72648370255,37935.72648370255,1131.4795904755592,13.759784723867448,13.759784723867448,0.4104024629943994,37935.72648370255,37935.72648370255,1131.4795904755592,13.759784723867448,,0,,,,False,13.759784723867448,0.4104024629943994,60.98336410522461,65.2665786743164,63.27674827014971,13.721477870523229
PbI2,4.0,4.0,detector_qspace_per_pixel,detector_qr_band_per_qz_bin_fast,False,7,4.182014854841658,4.182014854841658,0,0,saved_q_group_rows_no_fit_points,-,-,0.13,11,0.7046959922322237,0.7288294166237382,0.716762704427981,2788,2788.0,pixel_count,38554.58273237474,38554.58273237474,1152.0134695768356,13.828759947049765,13.828759947049765,0.4132042573805006,38554.58273237474,38554.58273237474,1152.0134695768356,13.828759947049765,,0,,,,False,13.828759947049765,0.4132042573805006,61.081993103027344,65.35651397705078,63.37208479426496,13.812866422795683
