L,parratt_trace,kinematic_trace
7.293460925039868537e-01,2.188587600700927886e-03,8.437805460463763951e-03
7.309409888357253360e-01,2.188587600700927886e-03,8.358553903745903971e-03
7.325358851674638183e-01,2.147668330663152821e-03,6.417665086567087181e-03
7.341307814992021896e-01,2.127496491040134757e-03,5.951002927848142443e-03
7.357256778309406720e-01,2.107514114151173758e-03,5.676731596130650884e-03
7.373205741626790433e-01,2.068110647222205691e-03,5.570595696868664570e-03
7.389154704944175256e-01,2.029443893369366897e-03,5.570595696868664570e-03
7.405103668261560079e-01,1.991500078521517628e-03,5.570595696868664570e-03
7.421052631578943792e-01,1.954265686136598228e-03,5.570595696868664570e-03
7.437001594896328616e-01,1.917727452386683382e-03,5.466444184030695187e-03
7.452950558213712329e-01,1.881872361433080008e-03,5.415100951086342443e-03
7.468899521531097152e-01,1.864196993722043493e-03,5.117011505108637510e-03
7.484848484848480865e-01,1.829342743352860247e-03,4.835331230189040576e-03
7.500797448165865688e-01,1.795140150921594423e-03,4.526241319388084848e-03
7.516746411483250512e-01,1.778279410038922752e-03,4.526241319388084848e-03
7.532695374800634225e-01,1.745031531197477684e-03,4.483728882674180467e-03
7.548644338118019048e-01,1.745031531197477684e-03,4.441615741346407326e-03
7.564593301435402761e-01,1.712405276517688264e-03,4.399898145047984217e-03
7.580542264752787585e-01,1.696321617735578819e-03,3.378224634918156662e-03
7.596491228070172408e-01,1.664606075563630555e-03,3.222528161450805093e-03
7.612440191387556121e-01,1.648971367768035587e-03,3.132576166276781170e-03
7.628389154704940944e-01,1.602942828346739720e-03,2.988201201712298565e-03
7.644338118022324657e-01,1.572973157300799202e-03,2.904790088881426067e-03
7.660287081339709481e-01,1.572973157300799202e-03,2.904790088881426067e-03
7.676236044657094304e-01,1.543563818892252585e-03,2.850480227118562526e-03
7.692185007974478017e-01,1.529065992874128858e-03,2.797185778171926845e-03
7.708133971291862840e-01,1.500477571625670470e-03,2.693567534382573358e-03
7.724082934609246553e-01,1.472423658261951939e-03,2.521386041677241546e-03
7.740031897926631377e-01,1.458594011725036863e-03,2.427984453698225475e-03
7.755980861244016200e-01,1.444894259272789822e-03,2.405179762532499727e-03
7.771929824561399913e-01,1.417879567993228767e-03,2.382589262993237058e-03
7.787878787878784737e-01,1.404562223391195774e-03,2.382589262993237058e-03
