branch,bin,x_unit,x,valid,measured,background,net_measured,model_total,net_model
m1_minus,35,L_reciprocal_lattice_units,9.1000000000000068,1,13.820283244126326,11.302213481977713,2.5180697621486132,11.709533532466402,0.40732005048868913
m1_minus,36,L_reciprocal_lattice_units,9.300000000000006,1,14.739197743434431,10.930041035745488,3.8091567076889437,11.654458454262183,0.72441741851669583
m1_minus,37,L_reciprocal_lattice_units,9.5000000000000071,1,18.897786016671802,10.562901621338757,8.3348843953330451,13.288787835398921,2.7258862140601643
m1_minus,38,L_reciprocal_lattice_units,9.7000000000000064,1,35.541887785283308,10.199449029484908,25.342438755798398,34.960068317036601,24.760619287551691
m1_minus,39,L_reciprocal_lattice_units,9.9000000000000075,1,99.773772536011819,9.8418722153617804,89.931900320650044,110.1910082307508,100.34913601538902
m1_minus,40,L_reciprocal_lattice_units,10.100000000000007,1,112.98375255951284,9.4890047449418038,103.49474781457103,107.71755102426185,98.228546279320042
m1_minus,41,L_reciprocal_lattice_units,10.300000000000008,1,39.828543750137733,9.1416344107073648,30.686909339430368,31.779346279150385,22.63771186844302
m1_minus,42,L_reciprocal_lattice_units,10.500000000000007,1,19.124336231196356,8.8002334765067758,10.32410275468958,11.729133049903886,2.9288995733971106
m1_minus,43,L_reciprocal_lattice_units,10.700000000000008,1,17.851345699820762,8.4645498483412922,9.3867958514794694,15.527975781829362,7.0634259334880696
m1_minus,44,L_reciprocal_lattice_units,10.900000000000007,1,31.380892587126922,8.133949734776337,23.246942852350585,33.8114838667654,25.677534131989063
m1_minus,45,L_reciprocal_lattice_units,11.100000000000009,1,35.543391741561351,7.8097060722355209,27.73368566932583,32.697375705057141,24.88766963282162
m1_minus,46,L_reciprocal_lattice_units,11.300000000000008,1,17.756597995475968,7.4923268854451637,10.264271110030805,13.343466951678383,5.8511400662332198
m1_minus,47,L_reciprocal_lattice_units,11.500000000000009,1,11.963405952161793,7.1807688123878881,4.7826371397739047,7.7545274906348709,0.57375867824698279
m1_minus,48,L_reciprocal_lattice_units,11.700000000000008,1,9.6143573944282643,6.8762039361079648,2.7381534583202995,6.9954413039084304,0.11923736780046568
m1_minus,49,L_reciprocal_lattice_units,11.900000000000009,1,9.2089871777498509,6.5779731078623795,2.6310140698874713,6.6281357458549088,0.050162637992529291
m1_minus,50,L_reciprocal_lattice_units,12.100000000000009,1,8.75658772514684,6.2865427487411472,2.4700449764056929,6.3140172456879675,0.027474496946820359
m1_minus,51,L_reciprocal_lattice_units,12.30000000000001,1,8.2145791655362181,6.0020063655780049,2.2125727999582132,6.0243838459539498,0.022377480375944891
m1_minus,52,L_reciprocal_lattice_units,12.500000000000009,1,7.7307342395539855,5.7248592770816566,2.0058749624723289,5.8275145387050395,0.1026552616233829
m1_minus,53,L_reciprocal_lattice_units,12.70000000000001,1,8.0729355806433176,5.4538737608991958,2.6190618197441218,6.5515073670492692,1.0976336061500733
m1_minus,54,L_reciprocal_lattice_units,12.900000000000009,1,10.40018862980298,5.1905319025656791,5.2096567272373004,9.5915968228691781,4.4010649203034991
m1_minus,55,L_reciprocal_lattice_units,13.10000000000001,1,9.6609184778277388,4.9346938626596026,4.7262246151681362,9.3632810791745698,4.4285872165149671
m1_minus,56,L_reciprocal_lattice_units,13.30000000000001,1,6.539061111266296,4.6856726286447614,1.8533884826215345,5.8138375595675562,1.1281649309227948
m1_minus,57,L_reciprocal_lattice_units,13.500000000000011,1,5.2814965297119265,4.4444620680824602,0.83703446162946626,4.614613654161043,0.17015158607858272
m1_minus,58,L_reciprocal_lattice_units,13.70000000000001,1,5.0041587586035483,4.2105632677385998,0.79359549086494852,4.4481361619895612,0.2375728942509614
m1_minus,59,L_reciprocal_lattice_units,13.900000000000011,1,5.0587282770379609,3.9841234891380584,1.0746047878999025,4.7663209585907387,0.78219746945268032
m1_minus,60,L_reciprocal_lattice_units,14.10000000000001,1,5.0609834680853076,3.765093629004109,1.2958898390811986,4.552111999860923,0.78701837085681392
m1_minus,61,L_reciprocal_lattice_units,14.300000000000011,1,4.0285367190210515,3.5539715704306549,0.47456514859039656,3.7774298977495455,0.22345832731889059
m1_minus,62,L_reciprocal_lattice_units,14.500000000000011,1,3.768777371726312,3.3505256476368106,0.4182517240895014,3.4099086361558184,0.059382988519007807
m1_minus,63,L_reciprocal_lattice_units,14.700000000000012,1,3.5717160711286144,3.1545879623169992,0.41712810881161522,3.1981357001119495,0.043547737794950248
m1_minus,64,L_reciprocal_lattice_units,14.900000000000011,1,3.4407931376554828,2.96714668801348,0.47364644964200275,3.0103335157051063,0.043186827691626295
m1_minus,65,L_reciprocal_lattice_units,15.100000000000012,1,3.2725730804013669,2.7871112930170567,0.48546178738431012,2.8359397744089381,0.04882848139188134
m1_minus,66,L_reciprocal_lattice_units,15.300000000000011,1,2.8719996873150642,2.6153741897027452,0.25662549761231901,2.6844335417496259,0.06905935204688074
m1_minus,67,L_reciprocal_lattice_units,15.500000000000012,1,3.2582495926810413,2.4522746357917331,0.8059749568893082,2.678086039793488,0.22581140400175492
m1_minus,68,L_reciprocal_lattice_units,15.700000000000012,1,4.3318960321896611,2.2980303304140888,2.0338657017755724,4.2207417956445932,1.9227114652305044
m1_minus,69,L_reciprocal_lattice_units,15.900000000000013,1,8.5560747832470341,2.1536073804497251,6.402467402797309,10.121892951800291,7.9682855713505658
