branch,bin,x,x_unit,net_measured_counts_per_pixel_area,net_model_counts_per_pixel_area,uncertainty_scale_counts_per_pixel_area,normalizing_pixel_area
m1_plus,20,4.0999999999999996,L_reciprocal_lattice_units,5.5485161540412324,6.0144881953999692,2.8632270616237609,834.60604019261348
m1_plus,21,4.3000000000000007,L_reciprocal_lattice_units,4.5792190846212346,4.0974198359256659,2.8036009812688572,841.57482615415825
m1_plus,22,4.5,L_reciprocal_lattice_units,9.7529801516115793,6.4970400732677032,2.7422369376311884,848.9332413547877
m1_plus,23,4.7000000000000011,L_reciprocal_lattice_units,31.218483627398591,16.163266968610561,2.6815856879586559,856.70466424344556
m1_plus,24,4.9000000000000004,L_reciprocal_lattice_units,550.6022965720789,448.69219466984248,2.722459568246411,864.911121092293
m1_plus,25,5.0999999999999996,L_reciprocal_lattice_units,495.38154319747639,390.09736125049938,2.6434791926461036,873.57423906813904
m1_plus,26,5.3000000000000007,L_reciprocal_lattice_units,26.974159052977711,15.149004218201958,2.4745521077158932,882.71587626197424
m1_plus,27,5.5,L_reciprocal_lattice_units,6.5196498277414925,4.6893745040143644,2.3991280135573887,892.35856531073614
m1_plus,28,5.7000000000000011,L_reciprocal_lattice_units,4.0787279797856657,2.9205048947178494,2.3272994859270728,902.52584773309809
m1_plus,29,5.9000000000000004,L_reciprocal_lattice_units,2.5347591527325424,2.162134787815329,2.2558288740426651,913.24254432311159
m1_plus,30,6.0999999999999996,L_reciprocal_lattice_units,1.1717472488947691,1.6993483830445302,2.1850359002032849,924.53498935932009
m1_plus,31,6.3000000000000007,L_reciprocal_lattice_units,1.0480819844969975,1.246649078686223,2.1155889369983303,936.43124636282573
m1_plus,32,6.5,L_reciprocal_lattice_units,0.13228214331481494,0.70420242499626928,2.0473903121596377,948.96131729373076
m1_plus,33,6.7000000000000011,L_reciprocal_lattice_units,-0.21723166666103813,0.30543140381126738,1.9811226959628747,962.15735362166072
m1_plus,34,6.9000000000000004,L_reciprocal_lattice_units,-0.14593097095998717,0.25856807745230992,1.917027516335901,976.05387566745458
m1_plus,35,7.0999999999999996,L_reciprocal_lattice_units,-0.41675528260174927,0.25766980292959951,1.8551401967602976,990.68800544136138
m1_plus,36,7.3000000000000007,L_reciprocal_lattice_units,-0.65623595461721873,0.27553781210119666,1.7957041249399459,1006.0997175853028
m1_plus,37,7.5,L_reciprocal_lattice_units,-0.11351203964349192,0.34643116338326885,1.7390260056341835,1022.3321127816129
m1_plus,38,7.7000000000000011,L_reciprocal_lattice_units,0.60041544838952987,1.0374563924189777,1.6849336166472457,1039.4317180120827
m1_plus,39,7.9000000000000004,L_reciprocal_lattice_units,11.662833759296994,10.1184793737985,1.6362579988836827,1057.448818281073
m1_plus,40,8.1000000000000014,L_reciprocal_lattice_units,8.7397822455033634,9.1846984565417813,1.5860169838209315,1076.4378248237686
m1_plus,41,8.3000000000000007,L_reciprocal_lattice_units,-0.083999112583423699,0.85302286291266249,1.5362880378391464,1096.4576853948138
m1_plus,42,8.5,L_reciprocal_lattice_units,0.082545288035172096,0.30647257796628319,1.4910479208520619,1117.5723429773846
m1_plus,43,8.6999999999999993,L_reciprocal_lattice_units,-0.13950884386332929,0.3512513049588451,1.447397322316452,1139.8512501813684
m1_plus,44,8.9000000000000004,L_reciprocal_lattice_units,0.73832572371971172,0.53146877194512909,1.4054938334382199,1163.3699477394653
m1_plus,45,9.1000000000000014,L_reciprocal_lattice_units,2.1647534060345537,0.91401976623420578,1.3648524704006009,1188.2107168954806
m1_plus,46,9.3000000000000007,L_reciprocal_lattice_units,2.3722446186961292,1.5607941229336466,1.3246813006442879,1214.4633171590904
m1_plus,47,9.5,L_reciprocal_lattice_units,5.4144724934740518,3.1066851340351493,1.2859424405599134,1242.2258229401266
m1_plus,48,9.7000000000000011,L_reciprocal_lattice_units,22.428354345307437,26.364374555618983,1.2516987593306692,1271.605575050434
m1_plus,49,9.9000000000000004,L_reciprocal_lattice_units,249.31191016142333,199.13312109631931,1.2806140483996287,1302.7202660809646
m1_plus,50,10.100000000000001,L_reciprocal_lattice_units,218.77685733241168,201.14563447149112,1.2326612708906719,1335.699182354155
m1_plus,51,10.300000000000001,L_reciprocal_lattice_units,17.075305931627657,23.653312088788756,1.1320761164549336,1370.684629693307
m1_plus,52,10.5,L_reciprocal_lattice_units,5.2412563010900204,4.9821952987228428,1.0886470442081215,1407.8335758607036
m1_plus,53,10.700000000000001,L_reciprocal_lattice_units,5.2910788055672011,6.6740176622649239,1.048594705703435,1447.3195494858674
m1_plus,54,10.9,L_reciprocal_lattice_units,32.634818970819829,27.100034824561241,1.0171897707499564,1489.3348440173781
m1_plus,55,11.100000000000001,L_reciprocal_lattice_units,28.282006352037623,24.772855544180238,0.9754407191143103,1534.0930861858385
